Day,Average Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Atmospheric pressure at sea level (hPa),Average relative humidity (%),Total rainfall (mm),Average visibility (Km),Average wind speed (Km/h),Maximum sustained wind speed (Km/h),Maximum speed of wind (Km/h),Total days it rained,Total days that snowed,Total days with thunderstorm,Total days with fog,date
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1-05-1942
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2-05-1942
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3-05-1942
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4-05-1942
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-05-1942
6,32.1,33.5,31.3,1001.6,59,0,116.8,33.5,42.4,-,,,,,6-05-1942
7,29.6,32.4,26.8,1001.1,73,0,84.8,27.8,38.9,-,,,,,7-05-1942
8,30.5,33,28,1001.4,71,0,160,18.7,31.3,-,,,,,8-05-1942
9,30.2,32.4,28,1002,69,0,160,20,35.2,-,,,,,9-05-1942
10,29.9,31.9,28,1000.9,72,0,115.9,29.6,38.9,-,,,,,10-05-1942
11,29.8,31.9,28,999.7,72,0,124.1,32.8,42.4,-,,,,,11-05-1942
12,30.2,31.8,28.5,1000,70,0,72.4,29.3,44.3,-,,,,,12-05-1942
13,30,33.5,27.4,1000.8,74,0,87.5,31.3,44.3,-,,,,,13-05-1942
14,30.6,34.1,28,1000.6,71,0,80.3,17.8,35.2,-,,,,,14-05-1942
15,30.4,36.9,28,1000.6,72,0,151.1,12.4,25.9,-,,,,,15-05-1942
16,30.8,34.1,28,1001.2,68,0,160,15,29.4,-,,,,,16-05-1942
17,30.8,34.6,28,1003.2,64,0,160,15.6,25.9,-,,,,,17-05-1942
18,30.2,33.5,28,1005.1,59,0,151.3,18.7,38.9,-,,,,,18-05-1942
19,30,32.4,27.4,1003.4,69,0,115.2,28.5,40.7,-,,,,,19-05-1942
20,29.7,31.8,28,1001.9,71,0,122,31.7,44.3,-,,,,,20-05-1942
21,30.8,34.6,28,1002.1,69,0,42.2,38,64.8,-,,,,,21-05-1942
22,30.4,32.4,28,1002.3,73,0,49.4,36.7,51.9,-,,,,,22-05-1942
23,30.4,32.4,28,1001.1,76,0,51.5,30.7,44.3,-,,,,,23-05-1942
24,30.1,31.9,28,1000.5,76,0,86.1,38.5,61.1,-,,,,,24-05-1942
25,30.6,33.5,28.5,999.3,77,0,88.7,34.8,42.4,-,,,,,25-05-1942
26,30.7,32.4,28.5,999.5,70,0,106.9,30,40.7,-,,,,,26-05-1942
27,31.1,33.5,28,1002.4,68,0,142.3,28.2,38.9,-,,,,,27-05-1942
28,30.6,34.1,28,1004,69,0,160,29.8,38.9,-,,,,,28-05-1942
29,30.1,32.4,27.4,1003.1,70,0,97.8,35.4,51.9,-,,,,,29-05-1942
30,30.6,33,28.5,1001.7,68,0,87.5,33.7,44.3,-,,,,,30-05-1942
31,30.3,32.4,28.5,1001.2,73,0,133.4,28.3,42.4,-,,,,,31-05-1942
1,30.8,33.0,28.5,1001.4,70.0,0,124.6,28.5,40.7,-,,,,,1-06-1942
2,30.7,33.0,28.5,1001.8,71.0,0,160.0,30.4,44.3,-,,,,,2-06-1942
3,30.7,33.0,28.5,1002.0,70.0,0,106.7,26.5,42.4,-,,,,,3-06-1942
4,30.5,33.0,28.5,1001.3,74.0,0,87.5,33.5,51.9,-,,,,,4-06-1942
5,30.8,33.5,28.0,1001.0,73.0,0,86.7,38.5,57.2,-,,,,,5-06-1942
6,31.1,34.1,28.0,1001.6,71.0,0,62.0,28.2,51.9,-,,,,,6-06-1942
7,31.8,35.2,28.0,1002.7,64.0,0,79.3,24.6,42.4,-,,,,,7-06-1942
8,32.1,36.9,28.5,1001.3,68.0,0,53.9,23.0,38.9,-,,,,,8-06-1942
9,31.5,34.6,28.5,998.4,72.0,0,52.9,23.9,42.4,-,,,,,9-06-1942
10,30.8,33.0,28.5,996.9,74.0,0,51.3,30.0,48.2,-,,,,,10-06-1942
11,30.6,32.4,29.1,998.2,75.0,0,71.0,32.4,44.3,-,,,,,11-06-1942
12,30.4,32.4,29.1,997.0,77.0,0,52.9,31.3,42.4,-,,,,,12-06-1942
13,32.9,37.4,28.5,995.0,62.0,0,34.3,24.1,35.2,-,,,,,13-06-1942
14,32.6,38.0,28.5,996.2,50.0,0,27.0,20.6,31.3,-,,,,,14-06-1942
15,32.8,38.5,26.9,997.9,54.0,0,36.4,14.3,29.4,-,,,,,15-06-1942
16,32.9,38.5,26.8,999.0,56.0,0,45.9,9.4,27.8,-,,,,,16-06-1942
17,32.2,35.8,27.4,997.3,61.0,0,46.2,13.7,31.3,-,,,,,17-06-1942
18,30.9,34.6,26.8,995.3,72.0,0,53.8,25.6,42.4,-,,,,,18-06-1942
19,30.3,34.6,28.5,994.8,78.0,0,44.7,27.2,38.9,-,,,,,19-06-1942
20,30.8,33.5,28.0,994.7,77.0,0,71.5,13.7,29.4,-,,,,,20-06-1942
21,32.2,38.5,29.1,994.1,72.0,0,44.3,15.7,44.3,-,,,,,21-06-1942
22,31.9,38.0,28.0,994.1,75.0,0,80.9,11.1,24.1,-,,,,,22-06-1942
23,31.9,34.6,28.5,994.3,75.0,0,55.7,12.6,29.4,-,,,,,23-06-1942
24,31.1,33.5,29.1,994.7,75.0,0,72.4,20.2,44.3,-,,,,,24-06-1942
25,31.2,32.9,29.6,992.4,73.0,0,51.0,31.3,48.2,-,,,,,25-06-1942
26,31.3,32.4,29.6,990.2,70.0,0,4.7,42.2,51.9,-,,,,,26-06-1942
27,31.2,32.9,29.1,990.6,71.0,0,9.3,35.4,44.3,-,,,,,27-06-1942
28,31.7,34.1,29.6,994.0,70.0,0,11.1,29.8,55.4,-,,,,,28-06-1942
29,30.6,40.2,27.4,995.9,73.0,0,21.2,32.8,42.4,-,,,,,29-06-1942
30,30.2,38.5,27.4,993.1,74.0,0,7.9,33.0,48.2,-,,,,,30-06-1942
1,30.0,38.0,26.9,993.8,75,0.0,9.8,25.4,46.5,-,,,,,1-07-1942
2,30.2,33.5,27.4,997.4,76,0.0,9.5,18.9,38.9,-,,,,,2-07-1942
3,29.9,32.4,28.0,997.1,77,0.0,9.2,32.2,55.4,-,,,,,3-07-1942
4,30.2,34.1,26.9,996.1,75,0.0,9.5,31.5,50.0,-,,,,,4-07-1942
5,30.1,33.0,28.0,996.3,75,0.0,60.2,22.6,37.0,-,,,,,5-07-1942
6,30.2,34.1,26.3,995.1,74,0.0,72.6,19.1,31.3,-,,,,,6-07-1942
7,28.8,30.8,25.8,995.2,81,3.05,11.3,10.4,31.3,-,,,,,7-07-1942
8,27.1,31.8,25.2,996.7,92,0.0,23.8,2.4,16.5,-,,,,,8-07-1942
9,27.3,31.3,24.1,996.6,89,1.02,21.7,4.8,16.5,-,,,,,9-07-1942
10,28.2,32.4,24.6,995.0,88,7.11,9.5,3.9,18.3,-,,,,,10-07-1942
11,27.8,30.8,24.6,995.3,93,72.9,8.2,5.7,18.3,-,,,,,11-07-1942
12,28.6,32.4,24.6,997.8,86,0.0,6.3,2.8,7.6,-,,,,,12-07-1942
13,29.1,32.4,26.8,997.7,86,2.03,6.8,9.1,22.2,-,,,,,13-07-1942
14,29.7,31.9,26.8,998.2,83,2.03,8.0,10.2,25.9,-,,,,,14-07-1942
15,29.1,32.4,26.3,999.1,84,6.1,8.5,8.1,22.2,-,,,,,15-07-1942
16,28.9,31.9,25.8,998.8,86,1.02,9.5,11.9,27.8,-,,,,,16-07-1942
17,29.6,32.4,28.0,996.8,84,0.0,17.4,19.6,35.2,-,,,,,17-07-1942
18,29.8,32.4,28.0,993.2,81,0.0,29.6,22.6,38.9,-,,,,,18-07-1942
19,30.3,33.5,28.0,994.0,77,0.0,9.8,18.7,29.4,-,,,,,19-07-1942
20,30.1,32.4,26.9,996.5,77,0.0,10.1,18.7,29.4,-,,,,,20-07-1942
21,30.2,33.5,26.8,997.0,75,0.0,9.7,20.2,29.4,-,,,,,21-07-1942
22,29.7,32.4,28.5,997.0,77,0.0,10.6,20.9,38.9,-,,,,,22-07-1942
23,28.9,30.8,26.9,997.9,-,0.0,9.0,23.5,42.4,-,,,,,23-07-1942
24,28.1,30.2,26.3,997.2,-,0.0,9.0,27.8,42.4,-,,,,,24-07-1942
25,28.6,31.3,26.9,997.7,-,0.0,12.2,20.9,35.2,-,,,,,25-07-1942
26,28.9,31.3,26.8,998.0,-,0.25,11.3,24.4,40.7,-,,,,,26-07-1942
27,28.4,30.8,26.8,996.3,-,0.0,11.6,26.3,42.4,-,,,,,27-07-1942
28,28.4,30.8,26.8,996.8,-,0.0,34.6,23.5,44.3,-,,,,,28-07-1942
29,28.6,30.8,26.8,996.8,-,0.0,9.2,23.0,38.9,-,,,,,29-07-1942
30,28.4,30.8,26.8,995.6,-,0.0,7.9,23.0,38.9,-,,,,,30-07-1942
31,28.3,30.2,26.3,995.1,-,0.0,8.2,20.7,35.2,-,,,,,31-07-1942
1,28.3,30.2,26.3,995.9,-,0.0,9.0,20.7,37.0,-,,,,,1-08-1942
2,28.5,31.3,26.8,994.6,-,0.0,8.5,28.3,42.4,-,,,,,2-08-1942
3,28.4,32.4,26.8,995.6,-,0.0,9.0,25.9,31.3,-,,,,,3-08-1942
4,28.6,33.5,26.3,996.6,-,0.0,7.9,16.5,29.4,-,,,,,4-08-1942
5,28.5,32.4,26.8,994.4,-,0.0,9.7,18.5,35.2,-,,,,,5-08-1942
6,27.3,34.6,24.6,994.1,-,17.02,8.4,24.8,55.4,-,,,,,6-08-1942
7,26.9,30.2,25.7,998.4,-,1.02,9.3,7.0,16.5,-,,,,,7-08-1942
8,27.3,30.2,25.7,1000.2,-,0.0,9.5,14.1,31.3,-,,,,,8-08-1942
9,27.4,29.6,25.7,999.1,-,0.0,7.9,31.1,48.2,-,,,,,9-08-1942
10,27.3,29.6,25.2,998.6,-,0.0,9.3,31.7,42.4,-,,,,,10-08-1942
11,26.8,29.1,25.2,999.0,-,0.0,9.7,28.5,44.3,-,,,,,11-08-1942
12,26.6,30.2,24.6,998.4,-,0.0,10.3,28.2,42.4,-,,,,,12-08-1942
13,26.8,30.2,24.6,998.4,-,0.0,9.7,24.3,35.2,-,,,,,13-08-1942
14,26.8,30.8,25.2,1000.5,-,0.0,10.9,20.6,33.5,-,,,,,14-08-1942
15,26.6,29.1,23.5,1000.2,-,0.0,10.9,26.1,40.7,-,,,,,15-08-1942
16,26.2,29.1,24.6,998.9,-,0.0,10.3,22.0,29.4,-,,,,,16-08-1942
17,26.2,28.0,24.6,998.2,-,0.0,10.0,23.3,35.2,-,,,,,17-08-1942
18,26.7,31.3,24.6,1000.0,-,0.0,47.6,21.3,31.3,-,,,,,18-08-1942
19,26.7,30.2,24.6,1001.5,-,0.0,73.2,20.9,35.2,-,,,,,19-08-1942
20,26.2,29.1,23.0,1001.1,-,0.0,17.7,16.7,25.9,-,,,,,20-08-1942
21,27.1,30.8,25.2,1001.3,72,0.0,61.3,15.2,29.4,-,,,,,21-08-1942
22,27.1,30.2,25.2,1000.0,74,0.0,80.1,19.8,31.3,-,,,,,22-08-1942
23,26.8,30.2,22.4,999.5,74,0.0,160.0,20.9,31.3,-,,,,,23-08-1942
24,26.9,29.1,25.2,1000.8,75,0.0,104.6,13.5,25.9,-,,,,,24-08-1942
25,27.5,30.2,25.2,1001.7,77,0.0,68.1,14.6,29.4,-,,,,,25-08-1942
26,27.4,30.8,25.2,1003.5,80,0.0,61.6,9.3,22.2,-,,,,,26-08-1942
27,27.6,30.8,23.5,1002.6,78,0.0,147.7,12.0,25.9,-,,,,,27-08-1942
28,27.5,30.2,25.2,1000.9,79,0.0,104.8,16.3,35.2,-,,,,,28-08-1942
29,27.4,30.8,25.7,1000.1,77,0.0,67.6,21.9,31.3,-,,,,,29-08-1942
30,27.7,31.3,25.2,1000.4,76,0.0,60.5,19.3,31.3,-,,,,,30-08-1942
31,28.2,32.4,25.2,1000.2,76,0.0,110.6,14.6,29.4,-,,,,,31-08-1942
1,27.9,33.5,22.4,999.2,76.0,0,9.5,18.5,38.9,-,,,,,1-09-1942
2,28.0,32.4,24.6,998.8,74.0,0,9.0,20.4,42.4,-,,,,,2-09-1942
3,27.1,29.6,24.6,999.7,78.0,0,10.6,20.6,31.3,-,,,,,3-09-1942
4,27.7,31.8,25.2,1001.5,73.0,0,48.9,14.4,35.2,-,,,,,4-09-1942
5,27.3,30.2,25.7,1000.7,73.0,0,17.2,20.0,35.2,-,,,,,5-09-1942
6,27.0,29.1,26.3,1002.3,77.0,0,66.1,16.9,29.4,-,,,,,6-09-1942
7,27.2,30.2,24.6,1004.0,76.0,0,18.3,21.9,42.4,-,,,,,7-09-1942
8,27.7,30.2,25.2,1003.2,71.0,0,30.7,28.2,42.4,-,,,,,8-09-1942
9,27.8,31.8,25.2,999.7,74.0,0,36.5,21.5,35.2,-,,,,,9-09-1942
10,28.0,31.3,25.2,1000.0,74.0,0,11.4,6.3,18.3,-,,,,,10-09-1942
11,28.2,31.3,24.6,1003.7,71.0,0,12.2,4.8,18.3,-,,,,,11-09-1942
12,27.7,31.3,25.2,1004.2,73.0,0,24.6,11.7,31.3,-,,,,,12-09-1942
13,27.6,31.3,24.1,1004.4,72.0,0,73.2,6.7,25.9,-,,,,,13-09-1942
14,27.2,31.3,23.5,1004.5,74.0,0,98.0,10.0,29.4,-,,,,,14-09-1942
15,28.2,32.4,24.1,1004.7,70.0,0,43.0,10.4,25.9,-,,,,,15-09-1942
16,27.7,30.2,24.6,1004.0,75.0,0,104.8,18.3,35.2,-,,,,,16-09-1942
17,27.6,30.8,24.6,1003.1,75.0,0,49.6,21.1,38.9,-,,,,,17-09-1942
18,27.4,30.2,24.6,1005.2,76.0,0,43.1,15.9,29.4,-,,,,,18-09-1942
19,27.3,30.2,25.2,1005.2,78.0,0,104.6,18.3,35.2,-,,,,,19-09-1942
20,27.2,30.2,25.2,1004.2,77.0,0,86.4,24.3,48.2,-,,,,,20-09-1942
21,26.8,30.2,24.1,1004.2,76.0,0,92.4,17.0,35.2,-,,,,,21-09-1942
22,26.4,30.2,23.5,1004.4,76.0,0,67.4,22.8,44.3,-,,,,,22-09-1942
23,26.4,30.2,24.1,1004.0,78.0,0,91.9,20.6,42.4,-,,,,,23-09-1942
24,26.1,29.6,23.0,1005.9,82.0,0,97.8,12.0,29.4,-,,,,,24-09-1942
25,26.7,31.3,21.9,1007.5,79.0,0,129.4,9.4,22.2,-,,,,,25-09-1942
26,27.2,33.0,23.5,1009.8,74.0,0,123.1,5.4,16.5,-,,,,,26-09-1942
27,27.6,35.8,23.0,1010.1,68.0,0,135.5,9.4,24.1,-,,,,,27-09-1942
28,26.9,33.0,23.5,1008.1,81.0,0,85.8,10.7,25.9,-,,,,,28-09-1942
29,26.6,30.8,23.0,1008.2,84.0,0,29.9,17.2,29.4,-,,,,,29-09-1942
30,27.2,33.0,23.5,1009.1,76.0,0,160.0,15.9,42.4,-,,,,,30-09-1942
1,27.2,33.0,23.0,1009.6,75.0,0,98.0,20.4,38.9,-,,,,,1-10-1942
2,27.1,31.3,23.5,1009.0,80.0,0,73.9,23.0,42.4,-,,,,,2-10-1942
3,28.7,40.2,24.1,1007.9,72.0,0,74.0,20.9,38.9,-,,,,,3-10-1942
4,28.7,39.1,19.6,1006.9,44.0,0,104.8,16.9,38.9,-,,,,,4-10-1942
5,28.8,38.5,19.1,1007.4,29.0,0,55.2,9.6,22.2,-,,,,,5-10-1942
6,28.2,39.6,16.9,1008.8,41.0,0,98.3,9.1,27.8,-,,,,,6-10-1942
7,29.6,39.1,21.8,1009.5,27.0,0,67.8,6.5,29.4,-,,,,,7-10-1942
8,29.8,39.1,22.4,1008.9,38.0,0,55.7,13.0,31.3,-,,,,,8-10-1942
9,29.1,36.3,24.1,1007.9,54.0,0,61.8,20.0,38.9,-,,,,,9-10-1942
10,27.9,34.1,24.1,1007.0,61.0,0,43.0,23.3,42.4,-,,,,,10-10-1942
11,27.7,33.5,24.1,1007.4,80.0,0,141.6,15.4,31.3,-,,,,,11-10-1942
12,28.2,38.5,23.0,1008.4,73.0,0,42.6,6.1,38.9,-,,,,,12-10-1942
13,27.5,32.4,23.5,1007.7,81.0,0,73.9,11.5,29.4,-,,,,,13-10-1942
14,27.7,35.8,23.5,1006.0,77.0,0,78.2,13.0,31.3,-,,,,,14-10-1942
15,27.7,34.1,23.5,1006.5,75.0,0,129.2,14.1,29.4,-,,,,,15-10-1942
16,25.7,32.4,19.1,1007.7,78.0,0,109.6,8.9,35.2,-,,,,,16-10-1942
17,27.3,34.6,23.0,1008.9,72.0,0,79.8,17.0,31.3,-,,,,,17-10-1942
18,26.4,31.9,22.4,1011.3,76.0,0,104.3,13.0,31.3,-,,,,,18-10-1942
19,26.3,31.9,21.9,1011.7,77.0,0,49.2,17.8,35.2,-,,,,,19-10-1942
20,26.6,31.9,23.5,1011.2,81.0,0,25.1,18.3,38.9,-,,,,,20-10-1942
21,26.8,31.9,23.5,1011.1,79.0,0,68.1,20.9,31.3,-,,,,,21-10-1942
22,26.7,30.2,24.1,1009.7,79.0,0,117.0,20.7,35.2,-,,,,,22-10-1942
23,26.4,30.2,24.1,1009.6,78.0,0,160.0,14.3,31.3,-,,,,,23-10-1942
24,26.6,30.2,24.1,1010.2,79.0,0,92.7,15.0,29.4,-,,,,,24-10-1942
25,26.3,29.6,23.5,1010.7,81.0,0,98.7,8.5,25.9,-,,,,,25-10-1942
26,26.7,31.3,21.9,1009.5,76.0,0,141.6,9.3,20.6,-,,,,,26-10-1942
27,27.1,34.6,20.2,1011.8,63.0,0,123.3,6.3,16.5,-,,,,,27-10-1942
28,27.7,38.0,20.7,1012.8,43.0,0,141.6,9.8,18.7,-,,,,,28-10-1942
29,28.8,39.1,20.7,1012.4,33.0,0,98.7,8.5,27.8,-,,,,,29-10-1942
30,28.3,38.0,21.3,1012.0,33.0,0,110.4,8.7,25.9,-,,,,,30-10-1942
31,27.5,35.2,19.1,1011.9,42.0,0,98.5,6.7,22.2,-,,,,,31-10-1942
1,26.7,38.0,18.5,1011.5,60.0,0,29.9,8.9,22.2,-,,,,,1-11-1942
2,26.1,35.8,19.1,1009.0,67.0,0,34.1,5.2,18.3,-,,,,,2-11-1942
3,25.8,34.6,19.1,1009.8,68.0,0,41.8,8.9,25.9,-,,,,,3-11-1942
4,24.1,34.1,16.3,1010.6,64.0,0,59.7,11.1,31.3,-,,,,,4-11-1942
5,25.2,30.2,18.5,1010.2,72.0,0,12.2,13.0,31.3,-,,,,,5-11-1942
6,26.1,31.8,22.4,1012.2,73.0,0,49.6,21.9,42.4,-,,,,,6-11-1942
7,26.2,30.2,22.4,1012.6,72.0,0,79.5,18.7,37.0,-,,,,,7-11-1942
8,25.6,34.1,19.1,1012.4,73.0,0,61.0,10.9,35.2,-,,,,,8-11-1942
9,26.2,33.0,17.4,1013.6,67.0,0,92.4,10.0,29.4,-,,,,,9-11-1942
10,26.3,34.6,18.5,1014.0,45.0,0,73.9,9.8,22.2,-,,,,,10-11-1942
11,25.8,33.0,17.4,1013.6,46.0,0,85.9,10.6,25.9,-,,,,,11-11-1942
12,26.3,31.9,21.9,1012.9,55.0,0,92.5,11.3,29.4,-,,,,,12-11-1942
13,24.6,33.0,16.3,1012.9,57.0,0,160.0,10.2,29.4,-,,,,,13-11-1942
14,24.3,33.5,16.9,1013.7,51.0,0,160.0,8.5,18.3,-,,,,,14-11-1942
15,25.2,35.2,17.4,1014.8,34.0,0,135.5,10.7,18.3,-,,,,,15-11-1942
16,24.5,33.5,15.2,1014.2,33.0,0,160.0,10.0,25.9,-,,,,,16-11-1942
17,24.2,33.5,15.2,1014.0,65.0,0,140.8,8.7,25.9,-,,,,,17-11-1942
18,24.1,31.3,15.7,1012.2,75.0,0,109.6,10.4,31.3,-,,,,,18-11-1942
19,24.3,28.5,19.6,1010.9,71.0,0,160.0,15.6,31.3,-,,,,,19-11-1942
20,23.7,30.7,17.4,1012.5,72.0,0,141.6,9.8,29.4,-,,,,,20-11-1942
21,23.1,31.3,17.4,1015.2,66.0,0,160.0,7.2,29.4,-,,,,,21-11-1942
22,23.7,33.5,16.3,1016.1,53.0,0,128.7,8.7,18.3,-,,,,,22-11-1942
23,23.4,33.0,15.7,1015.7,41.0,0,135.2,8.0,18.3,-,,,,,23-11-1942
24,23.1,30.2,11.9,1015.5,58.0,0,160.0,8.5,25.9,-,,,,,24-11-1942
25,24.0,31.9,13.5,1014.4,76.0,0,160.0,7.2,29.4,-,,,,,25-11-1942
26,24.7,31.9,19.1,1013.0,61.0,0,59.9,8.1,22.2,-,,,,,26-11-1942
27,23.7,31.9,15.2,1014.3,33.0,0,141.6,9.1,18.3,-,,,,,27-11-1942
28,23.1,32.4,15.8,1015.6,31.0,0,153.9,10.7,22.2,-,,,,,28-11-1942
29,22.6,30.8,14.6,1015.5,47.0,0,160.0,10.0,25.9,-,,,,,29-11-1942
30,22.7,31.9,16.9,1014.3,57.0,0,160.0,7.8,24.1,-,,,,,30-11-1942
1,22.8,30.8,14.6,1014.0,39,0.0,104.8,9.1,25.9,-,,,,,1-12-1942
2,21.3,30.2,12.4,1013.7,32,0.0,135.7,9.4,18.3,-,,,,,2-12-1942
3,20.3,29.1,12.4,1014.6,33,0.0,160.0,7.8,16.5,-,,,,,3-12-1942
4,19.9,28.5,12.4,1013.4,43,0.0,135.2,9.8,25.9,-,,,,,4-12-1942
5,20.1,28.0,12.4,1012.8,39,0.0,135.5,9.8,22.2,-,,,,,5-12-1942
6,20.9,27.4,12.4,1015.1,25,0.0,160.0,21.9,42.4,-,,,,,6-12-1942
7,20.1,31.3,11.9,1017.6,27,0.0,160.0,10.4,18.3,-,,,,,7-12-1942
8,19.6,29.1,11.3,1017.5,48,0.0,160.0,8.3,16.5,-,,,,,8-12-1942
9,19.4,29.6,10.8,1017.1,37,0.0,153.9,8.1,18.3,-,,,,,9-12-1942
10,19.4,29.1,10.8,1016.1,53,0.0,153.9,8.3,22.2,-,,,,,10-12-1942
11,21.6,29.1,15.7,1017.7,49,0.0,153.9,13.3,29.4,-,,,,,11-12-1942
12,22.5,30.2,15.2,1017.7,25,0.0,122.8,16.5,31.3,-,,,,,12-12-1942
13,21.3,28.5,14.1,1015.1,53,0.0,135.5,9.6,31.3,-,,,,,13-12-1942
14,24.2,28.5,14.6,1010.8,63,0.25,128.7,18.5,31.3,-,,,,,14-12-1942
15,19.3,24.6,12.4,1013.2,47,0.0,109.9,7.6,25.9,-,,,,,15-12-1942
16,16.9,24.6,8.5,1015.6,39,0.0,153.9,6.5,16.5,-,,,,,16-12-1942
17,16.9,23.0,9.6,1018.2,40,0.0,74.2,12.2,29.4,-,,,,,17-12-1942
18,16.8,24.1,9.6,1018.2,43,0.0,160.0,10.7,18.3,-,,,,,18-12-1942
19,16.9,24.6,9.1,1016.5,46,0.0,160.0,7.2,18.3,-,,,,,19-12-1942
20,17.3,24.1,9.6,1017.9,36,0.0,160.0,14.1,25.9,-,,,,,20-12-1942
21,16.9,23.5,9.1,1017.5,29,0.0,160.0,14.8,35.2,-,,,,,21-12-1942
22,16.8,24.6,9.1,1018.2,30,0.0,160.0,10.6,22.2,-,,,,,22-12-1942
23,16.9,25.2,8.5,1018.1,36,0.0,160.0,9.8,29.4,-,,,,,23-12-1942
24,17.9,23.5,10.2,1017.2,30,0.0,160.0,11.7,29.4,-,,,,,24-12-1942
25,15.2,22.4,6.9,1019.6,20,0.0,153.9,12.6,25.9,-,,,,,25-12-1942
26,15.0,22.4,7.4,1019.4,26,0.0,153.5,17.2,29.4,-,,,,,26-12-1942
27,16.6,25.2,8.0,1019.2,30,0.0,153.9,7.2,18.3,-,,,,,27-12-1942
28,17.9,24.6,9.1,1020.6,39,0.0,160.0,14.3,24.1,-,,,,,28-12-1942
29,18.2,23.5,11.3,1020.6,-,0.0,147.4,20.6,44.3,-,,,,,29-12-1942
30,17.9,23.5,12.4,1019.9,24,0.0,160.0,19.6,35.2,-,,,,,30-12-1942
31,17.7,23.5,10.2,1017.7,26,0.0,160.0,16.3,29.4,-,,,,,31-12-1942
1,18.1,20.8,14.6,1016.3,31,1.02,141.8,25.0,35.2,-,,,,,1-01-1943
2,13.9,15.8,12.4,1017.0,76,0.25,86.3,37.6,48.2,-,,,,,2-01-1943
3,15.6,19.1,11.3,1015.0,71,0.0,153.9,27.8,48.2,-,,,,,3-01-1943
4,15.7,22.4,10.8,1015.1,71,0.0,160.0,9.1,24.1,-,,,,,4-01-1943
5,17.3,22.4,8.0,1014.9,46,0.0,160.0,13.3,25.9,-,,,,,5-01-1943
6,14.7,23.0,6.9,1017.6,42,0.0,160.0,13.5,25.9,-,,,,,6-01-1943
7,15.8,21.3,8.0,1020.1,36,0.0,160.0,18.1,31.3,-,,,,,7-01-1943
8,15.4,23.0,6.3,1019.9,29,0.0,160.0,12.0,22.2,-,,,,,8-01-1943
9,16.2,24.6,6.9,1019.5,38,0.0,160.0,8.0,18.3,-,,,,,9-01-1943
10,16.8,23.5,9.6,1019.4,32,0.0,160.0,13.9,38.9,-,,,,,10-01-1943
11,19.6,25.8,14.1,1019.0,34,0.0,160.0,18.3,31.3,-,,,,,11-01-1943
12,18.7,24.6,14.6,1019.8,51,0.0,160.0,10.6,25.9,-,,,,,12-01-1943
13,17.1,24.1,10.2,1018.6,74,0.0,160.0,6.9,16.5,-,,,,,13-01-1943
14,16.4,20.7,11.3,1019.6,64,2.03,147.4,17.8,38.9,-,,,,,14-01-1943
15,15.3,22.4,9.6,1021.0,76,0.0,153.7,8.1,22.2,-,,,,,15-01-1943
16,17.0,22.4,10.8,1020.7,60,0.0,160.0,17.2,40.7,-,,,,,16-01-1943
17,17.8,24.6,11.3,1017.7,52,0.0,160.0,11.7,18.3,-,,,,,17-01-1943
18,19.7,25.8,13.0,1016.9,57,0.0,153.9,8.7,22.2,-,,,,,18-01-1943
19,17.8,23.0,10.2,1015.8,45,0.0,160.0,15.4,31.3,-,,,,,19-01-1943
20,17.8,22.4,10.8,1017.1,40,0.0,160.0,22.0,38.9,-,,,,,20-01-1943
21,16.9,24.6,10.2,1018.6,46,0.0,160.0,10.9,22.2,-,,,,,21-01-1943
22,16.9,23.5,8.5,1019.4,36,0.0,160.0,14.4,31.3,-,,,,,22-01-1943
23,18.4,24.6,10.8,1016.6,25,0.0,160.0,19.3,29.4,-,,,,,23-01-1943
24,19.7,26.3,15.2,1014.7,28,0.0,160.0,13.7,42.4,-,,,,,24-01-1943
25,17.7,20.8,14.6,1016.6,44,5.08,110.4,14.1,25.9,-,,,,,25-01-1943
26,16.3,19.6,11.9,1017.4,68,0.25,29.9,5.2,16.5,-,,,,,26-01-1943
27,17.7,21.3,13.0,1016.9,46,0.0,129.1,17.0,37.0,-,,,,,27-01-1943
28,18.1,23.5,12.4,1015.8,30,0.0,160.0,16.5,29.4,-,,,,,28-01-1943
29,16.8,24.1,8.5,1013.0,49,0.0,160.0,10.0,29.4,-,,,,,29-01-1943
30,17.7,25.8,9.6,1010.6,49,0.0,160.0,6.1,18.3,-,,,,,30-01-1943
31,18.1,26.9,10.2,1012.3,41,0.0,160.0,11.9,35.2,-,,,,,31-01-1943
1,19.7,26.3,10.2,1013.7,64.0,0,160.0,13.1,37.0,-,,,,,1-02-1943
2,19.7,25.2,12.4,1013.9,72.0,0,160.0,10.2,31.3,-,,,,,2-02-1943
3,21.3,26.9,16.9,1012.9,59.0,0,91.7,20.4,40.7,-,,,,,3-02-1943
4,18.5,25.8,11.3,1016.5,30.0,0,104.6,13.0,29.4,-,,,,,4-02-1943
5,17.5,25.2,9.1,1018.6,25.0,0,129.2,10.9,18.3,-,,,,,5-02-1943
